AcceptedName,USDAcode,PropagationDescription.L,Propogation Description 2
Mitella diphylla,MIDI3,Propagation by seed and root or runner division. Fresh seeds sown at soil level germinate fairly well. A light mulch helps retain soil moisture. Seedlings start to bloom the third year. Divide rhizomes that are rooted.,Propagation by seed and root or runner division. Fresh seeds sown at soil level germinate fairly well. A light mulch helps retain soil moisture. Seedlings start to bloom the third year. Divide rhizomes that are rooted.
Nelumbo lutea,NELU,NA,NA
Galearis spectabilis,GASP5,NA,NA
Orontium aquaticum,ORAQ,"Sow cleaned seeds immediately in wet, mucky soil.","Sow cleaned seeds immediately in wet, mucky soil."
Pedicularis canadensis,PECA,NA,NA
Phegopteris hexagonoptera,PHHE11,Propagate by spores or,Propagate by spores or rhizome division.
Phlox carolina,PHCA19,"Propagate by seed, cuttings, or division.","Propagate by seed, cuttings, or division."
Phytolacca americana,PHAM4,NA,NA
Pinus resinosa,PIRE,Seeds have no dormancy and will germinate immediately upon sowing.,Seeds have no dormancy and will germinate immediately upon sowing.
Podophyllum peltatum,POPE,Seeds should be planted immediately or they will need to be treated. Plant thickly. Seedlings take several years to mature. The easiest way to propagate is by root division while the plant is dormant. Divide the rhizomes in fall with at least one bud.,Seeds should be planted immediately or they will need to be treated. Plant thickly. Seedlings take several years to mature. The easiest way to propagate is by root division while the plant is dormant. Divide the rhizomes in fall with at least one bud.
Polygonatum biflorum,POBI2,Plant seeds immediately or treatment will be necessary.,"Plant seeds immediately or treatment will be necessary. Rhizome cuttings will grow but may lie dormant a whole year. Divide the rhizomes in spring or fall when the plants are dormant. Set them horizontally, buds up, 18 in. apart and 1 in. deep."
Rubus odoratus,RUOD,Information about propagation by seed or cuttings is scarce because plants are so easily obtained by digging up suckers.,Information about propagation by seed or cuttings is scarce because plants are so easily obtained by digging up suckers.
Sambucus canadensis,SANIC4,"Propagation is quickest from cuttings. Roots easily from softwood cuttings taken from one-year-old (juvenile) seedlings. For elderberry seeds to germinate they must be pretreated. Untreated, fall-sown seeds will not germinate until the second year.","Propagation is quickest from cuttings. Roots easily from softwood cuttings taken from one-year-old (juvenile) seedlings. For elderberry seeds to germinate they must be pretreated. Untreated, fall-sown seeds will not germinate until the second year."
Sanguinaria canadensis,SACA13,The most reliable method of propagation is by seed. Plant seeds immediately after collection as they must not be allowed to dry out. Propagate by,The most reliable method of propagation is by seed. Plant seeds immediately after collection as they must not be allowed to dry out. Propagate by rhizome division in either fall or early spring. (Wear gloves and wash your hands after handling the roots
Silene virginica,SIVI4,"Propagate by seed or cuttings. Seeds can be sown outdoors immediately after collection or stored, pretreated and sown later. Divide mature plants in late fall or early spring by removing outer rosettes.","Propagate by seed or cuttings. Seeds can be sown outdoors immediately after collection or stored, pretreated and sown later. Divide mature plants in late fall or early spring by removing outer rosettes."
Solidago odora,SOOD,Increase by division of mature clumps or by seed.,Increase by division of mature clumps or by seed.
Spiraea tomentosa,SPTO2,Propagate by seed or softwood cuttings. Cuttings do not need a hormone treatment.,Propagate by seed or softwood cuttings. Cuttings do not need a hormone treatment.
Tiarella cordifolia,TICO,"Propagation is easiest by dividing the runners or crowns in fall or spring. Plant the divisions about a foot apart. Seeds collected from mature fruits can be planted immediately or sown in the spring. Germination is high, but the seedlings grow slowly.","Propagation is easiest by dividing the runners or crowns in fall or spring. Plant the divisions about a foot apart. Seeds collected from mature fruits can be planted immediately or sown in the spring. Germination is high, but the seedlings grow slowly."
Trillium cernuum,TRCE,NA,Rhizome division or seed. Seeds do best when planted outdoors soon after fruits have ripened. Seedlings take many years to bloom. Divide rhizomes in fall.
Trillium erectum,TRER3,NA,NA
Uvularia grandiflora,UVGR,Seeds should be sown immediately upon ripening and should not be allowed to dry out before sowing. Mature clumps may be divided in spring or fall.,Seeds should be sown immediately upon ripening and should not be allowed to dry out before sowing. Mature clumps may be divided in spring or fall.
Viola blanda,VIBL,NA,NA
Ipomoea pandurata,IPPA,NA,NA
Washingtonia filifera,WAFI,Sow fresh seed in a friable medium. Germination takes 4-15 weeks.,Sow fresh seed in a friable medium. Germination takes 4-15 weeks.
Philadelphus inodorus,PHIN5,Propagate by seed or softwood cuttings.,Propagate by seed or softwood cuttings.
Euonymus americanus,EUAM9,Semi-hardwood cuttings taken in fall root readily with no hormone treatment. Increase also by separating suckers. A less reliable method of propagation is by seed.,Semi-hardwood cuttings taken in fall root readily with no hormone treatment. Increase also by separating suckers. A less reliable method of propagation is by seed.
Hypericum prolificum,HYPR,"Seeds can be used for propagation but softwood cuttings, which root easily, are the usual method.","Seeds can be used for propagation but softwood cuttings, which root easily, are the usual method."
Castanea dentata,CADE12,NA,NA
Picea pungens,PIPU,Propagate by seed.,Propagate by seed.
Tilia americana,TIAM,Untreated seeds germinate in 2-3 years. Seeds germinate most easily if fruits are collected as they first turn slightly brown and are planted immediately. Mechanical or chemical pretreatment of the hard pericarp and seed coat hastens germination.,Untreated seeds germinate in 2-3 years. Seeds germinate most easily if fruits are collected as they first turn slightly brown and are planted immediately. Mechanical or chemical pretreatment of the hard pericarp and seed coat hastens germination.
Duranta erecta,DUER,NA,NA
Vitis rotundifolia,VIRO3,NA,NA
Passiflora incarnata,PAIN6,"Propagate by seed or cuttings. When sown immediately or stored, seed germination is low. Direct sowing outdoors is recommended. 6-8 in.","Propagate by seed or cuttings. When sown immediately or stored, seed germination is low. Direct sowing outdoors is recommended. 6-8 in. stem cuttings should be taken early in the season. Once passion flower is established, numerous suckers will appear"
Yucca aloifolia,YUAL,"Yuccas will germinate promptly from fresh seed held over winter. Seeds germinate best in 60-70 degree temperatures. Yuccas may also be grown from rhizomes,","Yuccas will germinate promptly from fresh seed held over winter. Seeds germinate best in 60-70 degree temperatures. Yuccas may also be grown from rhizomes, stem cuttings, or by digging offsets from the side of established plants. Transplant into a well"
Camassia scilloides,CASC5,Propagate by seed sown in fall or division of clumps. Remove offsets from larger bulbs and plant them separately. Do not plant small bulbs more than 2 in. deep.,Propagate by seed sown in fall or division of clumps. Remove offsets from larger bulbs and plant them separately. Do not plant small bulbs more than 2 in. deep.
Sambucus racemosa,SARA2,NA,NA
Trillium sessile,TRSE2,"Plant seed outdoors in fall and water if insufficient moisture occurs during the winter. Do not disturb seedlings the first growing season. To ensure success, plant numerous seeds and thin if necessary.","Plant seed outdoors in fall and water if insufficient moisture occurs during the winter. Do not disturb seedlings the first growing season. To ensure success, plant numerous seeds and thin if necessary."
Cornus alba,COSES,NA,NA
Ribes aureum,RIAU,Propagation is by,Propagation is by twig cuttings and seed.
Ilex vomitoria,ILVO,Seeds germinate best if planted immediately after collection. They may be pretreated with double-stratification. Semi-hardwood cuttings taken in late fall can be made to root.,Seeds germinate best if planted immediately after collection. They may be pretreated with double-stratification. Semi-hardwood cuttings taken in late fall can be made to root.
Cercis canadensis,CECA4,The simplest way to grow redbuds is to scarify seeds and plant outdoors in the fall. Cuttings are nearly impossible. Seedlings which may develop around mature trees are easily moved when very small.,The simplest way to grow redbuds is to scarify seeds and plant outdoors in the fall. Cuttings are nearly impossible. Seedlings which may develop around mature trees are easily moved when very small.
Cornus florida,COFL2,Sow seeds outdoors immediately after collection or stratify and sow the following spring.,Sow seeds outdoors immediately after collection or stratify and sow the following spring.
Calocedrus decurrens,CADE27,Progeny come well from seeds or cuttings.,Progeny come well from seeds or cuttings.
Chamaecyparis thyoides,CHTH2,"Seed germination is usually low, due in part to poor seed quality, and also to embryo dormancy. Softwood or semi-hardwood cuttings are the principal means of propagation.","Seed germination is usually low, due in part to poor seed quality, and also to embryo dormancy. Softwood or semi-hardwood cuttings are the principal means of propagation."
Acer rubrum,ACRU,Seeds mature in early summer and will germinate without pretreatment although treatment will hasten and unify germination. Softwood cuttings root readily with hormone.,Seeds mature in early summer and will germinate without pretreatment although treatment will hasten and unify germination. Softwood cuttings root readily with hormone.
Amelanchier canadensis,AMCA4,This species can be rooted from early spring hardwood cuttings or softwood cutting taken in the summer. Sow untreated seeds in fall or cold-stratified seed in spring.,This species can be rooted from early spring hardwood cuttings or softwood cutting taken in the summer. Sow untreated seeds in fall or cold-stratified seed in spring.
Amorpha fruticosa,AMFR,Propagation is possible by scarified seed and softwood or hardwood cuttings.,Propagation is possible by scarified seed and softwood or hardwood cuttings.
Aralia spinosa,ARSP2,"Use one of the following methods for propagation: fresh seed sown in fall or stratified seed sown in spring; dormant root cuttings stored in cool, damp sand until spring; and/or transplanting of suckers.","Use one of the following methods for propagation: fresh seed sown in fall or stratified seed sown in spring; dormant root cuttings stored in cool, damp sand until spring; and/or transplanting of suckers."
Aronia arbutifolia,ARAR7,Propagate by seed or softwood cuttings. Softwood cuttings root without hormone treatment.,Propagate by seed or softwood cuttings. Softwood cuttings root without hormone treatment.
Lindera benzoin,LIBE3,NA,NA
Betula nigra,BENI,Sow seed directly or stratify for spring planting. Germination is facilitated by exposure to light; never plant too deeply. Treated softwood cuttings stuck in peat:perlite and kept under continuous mist root well.,Sow seed directly or stratify for spring planting. Germination is facilitated by exposure to light; never plant too deeply. Treated softwood cuttings stuck in peat:perlite and kept under continuous mist root well.
Carpinus caroliniana,CACA18,"Sow fresh, slightly green seed outdoors in fall or fully dried and stratified seed in spring. Best grown in water permeable, in-ground cloth containers (drip sacks), for the root system is very vigorous.","Sow fresh, slightly green seed outdoors in fall or fully dried and stratified seed in spring. Best grown in water permeable, in-ground cloth containers (drip sacks), for the root system is very vigorous."
Cladrastis kentukea,CLKE,"Propagate by seed or root cuttings. Take cuttings in December and hold in nearly dry sand until transplanting to well-drained, fertile soil in mid-spring.","Propagate by seed or root cuttings. Take cuttings in December and hold in nearly dry sand until transplanting to well-drained, fertile soil in mid-spring."
Clematis crispa,CLCR,Take softwood cuttings in summer. Can also be propagated by seed or root cuttings.,Take softwood cuttings in summer. Can also be propagated by seed or root cuttings.
Cornus amomum,COAM2,NA,NA
Corylus americana,COAM3,Propagate by seed or softwood cuttings. Rooting percentages for cuttings are usually low.,Propagate by seed or softwood cuttings. Rooting percentages for cuttings are usually low.
Fagus grandifolia,FAGR,"Sow fresh seed immediately or stratify seed for spring planting. Germinates well but needs protection from rodents and birds. According to several references, large crops of viable seeds occur at 2-3 year intervals. Between these years, large quantitie","Sow fresh seed immediately or stratify seed for spring planting. Germinates well but needs protection from rodents and birds. According to several references, large crops of viable seeds occur at 2-3 year intervals. Between these years, large quantitie"
Fraxinus americana,FRAM2,Seeds may be sown outdoors after collection or stored and stratified then sown in spring.,Seeds may be sown outdoors after collection or stored and stratified then sown in spring.
Gleditsia triacanthos,GLTR,"Scarified seeds will germinate readily. Thornless forms come true about half of the time. Transplanting is easy. Cutting from male-flowered branches grow into trees with pollen flowers only, so they do not produce fruit. (Kershaw)","Scarified seeds will germinate readily. Thornless forms come true about half of the time. Transplanting is easy. Cutting from male-flowered branches grow into trees with pollen flowers only, so they do not produce fruit. (Kershaw)"
Hamamelis virginiana,HAVI4,Seeds sown immediately after collection will be exposed to a period of warm temperatures to complete after-ripening. Pretreated seed must be double-stratified seed. Witch hazel can be layered from new wood.,Seeds sown immediately after collection will be exposed to a period of warm temperatures to complete after-ripening. Pretreated seed must be double-stratified seed. Witch hazel can be layered from new wood.
Ilex glabra,ILGL,Ilex seeds exhibit a dormancy. Patience is probably more important than cold treatment for germination. Cuttings root about any time of year.,Ilex seeds exhibit a dormancy. Patience is probably more important than cold treatment for germination. Cuttings root about any time of year.
Juglans nigra,JUNI,"Plant nuts in fall or spring. If nuts are sown in spring, they must be stratified. Protection from squirrels is necessary.","Plant nuts in fall or spring. If nuts are sown in spring, they must be stratified. Protection from squirrels is necessary."
Leucothoe catesbaei,LEFO,NA,Germinate seeds under mist or a plastic tent. Semi-hardwood and hardwood cuttings root easily with hormone treatment.
Liquidambar styraciflua,LIST2,Seeds exhibit only a shallow dormancy and can be planted fresh or stratified. Leafy cuttings taken with a heel can be rooted in summer under mist.,Seeds exhibit only a shallow dormancy and can be planted fresh or stratified. Leafy cuttings taken with a heel can be rooted in summer under mist.
Oxydendrum arboreum,OXAR,Germinate the minute seeds under mist or a plastic tent. Softwood cuttings treated with hormone should root well.,Germinate the minute seeds under mist or a plastic tent. Softwood cuttings treated with hormone should root well.
Pieris floribunda,PIFL,NA,NA
Platanus occidentalis,PLOC,Seeds which over-winter on,"Seeds which over-winter on tree and are planted in spring will germinate promptly. Stored seeds must be stratified. Seedlings are susceptible to damping-off. Sycamores are also grown from cuttings, usually to select for the whitest bark."
Quercus alba,QUAL,Oaks are most often propagated from seed. Plant immediately – outdoors or in deep containers to accomodate long initial taproot. The acorns sprout without a dormancy period and begin to germinate as soon as they fall from the tree. Protect outdoor beds,Oaks are most often propagated from seed. Plant immediately â€“ outdoors or in deep containers to accomodate long initial taproot. The acorns sprout without a dormancy period and begin to germinate as soon as they fall from the tree. Protect outdoor beds
Rhododendron carolinianum,RHCA14,"Sow tiny seeds on peat under mist or a plastic tent. Wounded, semi-hardwood cutting taken in late summer and given hormone will root in 6-8 weeks.","Sow tiny seeds on peat under mist or a plastic tent. Wounded, semi-hardwood cutting taken in late summer and given hormone will root in 6-8 weeks."
Robinia hispida,ROHI,"Propagate by seed or from spring root cuttings. Cuttings should be stored in cool, dry sand for three weeks before planting.","Propagate by seed or from spring root cuttings. Cuttings should be stored in cool, dry sand for three weeks before planting."
Sassafras albidum,SAAL5,Sow seed outdoors in the fall or stratify the seed and sow in spring. Sassafras may be multiplied from root cuttings taken in early spring before the plant leafs out. Sassafras freely produces root suckers which can be dug and moved. Dig around the suc,Sow seed outdoors in the fall or stratify the seed and sow in spring. Sassafras may be multiplied from root cuttings taken in early spring before the plant leafs out. Sassafras freely produces root suckers which can be dug and moved. Dig around the suc
Taxus canadensis,TACA7,Yew seeds are slow to germinate – natural germination not taking place until the second year. Most yews root readily from cuttings taked from Oct. to Jan. Cuttings benefit from hormone treatment and will take up to 3 months to root.,Yew seeds are slow to germinate â€“ natural germination not taking place until the second year. Most yews root readily from cuttings taked from Oct. to Jan. Cuttings benefit from hormone treatment and will take up to 3 months to root.
Vaccinium corymbosum,VACO,Most commonly propagated by softwood cuttings taken in spring. Vaccinium will also root from hardwood cuttings of unbranched shoots of previous season. Seeds may need to be stratified and should be sown on a slightly acid soil mix.,Most commonly propagated by softwood cuttings taken in spring. Vaccinium will also root from hardwood cuttings of unbranched shoots of previous season. Seeds may need to be stratified and should be sown on a slightly acid soil mix.
Viburnum cassinoides,VINUC,NA,NA
Tradescantia virginiana,TRVI,"Seeds sown fresh outdoors germinate in two weeks. Alternatively, seeds may be stored over winter and sown after a period of cold-moist treatment. A faster method of propagation is divide a large clump into several pieces. Divide in early fall or very e","Seeds sown fresh outdoors germinate in two weeks. Alternatively, seeds may be stored over winter and sown after a period of cold-moist treatment. A faster method of propagation is divide a large clump into several pieces. Divide in early fall or very e"
Yucca gloriosa,YUGL2,NA,NA
Viburnum lantanoides,VILA11,NA,NA
Picea mariana,PIMA,Seeds of most Picea species germinate promptly without pretreatment. Cuttings root in low percentages.,Seeds of most Picea species germinate promptly without pretreatment. Cuttings root in low percentages.
Euonymus atropurpureus,EUAT5,"Semi-hardwood cuttings taken in fall root readily with no hormone treatment. Increase also by separating suckers. A less reliable method of propagation is by seed. Its dense, shallow roots make it easy to transplant when dormant.","Semi-hardwood cuttings taken in fall root readily with no hormone treatment. Increase also by separating suckers. A less reliable method of propagation is by seed. Its dense, shallow roots make it easy to transplant when dormant."
Hypericum kalmianum,HYKA,NA,NA
Itea virginica,ITVI,Seeds are very tiny and germinate best if sown thinly in flats in a greenhouse. Sweetspire grows best if kept in a container one year. Semi-hardwood cuttings taken in late summer or early fall will root.,Seeds are very tiny and germinate best if sown thinly in flats in a greenhouse. Sweetspire grows best if kept in a container one year. Semi-hardwood cuttings taken in late summer or early fall will root.
Populus deltoides,PODE3,NA,NA
Populus balsamifera,POBA2,Fresh seed germinates readily when placed on a saturated seed bed.,Fresh seed germinates readily when placed on a saturated seed bed.
Ptelea trifoliata,PTTR,Sow seeds directly outdoors after collection or store and stratify seeds. Softwood and semi-hardwood cuttings taken in mid-summer to late fall will root.,Sow seeds directly outdoors after collection or store and stratify seeds. Softwood and semi-hardwood cuttings taken in mid-summer to late fall will root.
Holodiscus discolor,HODI,"Semi-hardwood cuttings, suckers and seeds have been used with success.","Semi-hardwood cuttings, suckers and seeds have been used with success."
Aesculus pavia,AEPA,"Sow untreated seeds promptly in loose, rich, well-drained soil.","Sow untreated seeds promptly in loose, rich, well-drained soil."
Asimina triloba,ASTR,Trees are easily grown from scarified/stratified seed. Fall sow in a shady location. Some sources say seed is the only method of propagation while other say increase is possible by root cuttings or layering.,Trees are easily grown from scarified/stratified seed. Fall sow in a shady location. Some sources say seed is the only method of propagation while other say increase is possible by root cuttings or layering.
Baccharis halimifolia,BAHA,Increase by sowing seed or taking cuttings in summer. Germinating seeds under mist or a plastic tent is recommended in some sources. Others suggest sowing seeds in sandy seed beds in fall or early spring.,Increase by sowing seed or taking cuttings in summer. Germinating seeds under mist or a plastic tent is recommended in some sources. Others suggest sowing seeds in sandy seed beds in fall or early spring.
Dirca palustris,DIPA9,Seed can be sown outside as soon as it is ripe. The seeds need a cold period of about three months to germinate. Cuttings are difficult to root. Layering offers a method of vegetative reproduction.,Seed can be sown outside as soon as it is ripe. The seeds need a cold period of about three months to germinate. Cuttings are difficult to root. Layering offers a method of vegetative reproduction.
Quercus phellos,QUPH,Oaks are most often propagated from seed. Stratify or plant immediately outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate,Oaks are most often propagated from seed. Stratify or plant immediately outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate shoot development. Protect outdoor beds with wire mesh
Ferocactus cylindraceus,FECY,NA,NA
Verbena canadensis,GLCA2,NA,"Seed sown in spring or fall, cuttings, and root division are methods of propagation."
Erigeron speciosus,ERSP4,"Seeds may be sown outside in late fall or the following spring without any cold treatment. Only a small percentage of the seeds will germinate, so sow thickly. Seeds require light to germinate. A more practical method of propagation is division. Separ","Seeds may be sown outside in late fall or the following spring without any cold treatment. Only a small percentage of the seeds will germinate, so sow thickly. Seeds require light to germinate. A more practical method of propagation is division. Separ"
Rhus typhina,RHTY,Easily propagated from early winter root divisions. Place root cuttings in flats of moist sand. Plant scarified and stratified seed 1/3-3/4 in. deep.,Easily propagated from early winter root divisions. Place root cuttings in flats of moist sand. Plant scarified and stratified seed 1/3-3/4 in. deep.
Viburnum dentatum,VIDE,NA,NA
Cephalanthus occidentalis,CEOC2,"Sow fresh, untreated seed.","Sow fresh, untreated seed."
Pseudotsuga menziesii,PSME,Propagates easily by seed and is easily transplanted when young. Douglas fir does not take well to propagation by cuttings.,Propagates easily by seed and is easily transplanted when young. Douglas fir does not take well to propagation by cuttings.
Solidago canadensis,SOCA6,NA,NA
Acer negundo,ACNE2,NA,NA
Fraxinus pennsylvanica,FRPE,Propagate by pretreated seed.,Propagate by pretreated seed.
Salix discolor,SADI,Willows are among the easiest of all plants to root from cuttings. Semi-hardwood or hardwood,"Willows are among the easiest of all plants to root from cuttings. Semi-hardwood or hardwood stem cuttings and root cuttings will root readily in any well-drained media without hormone treatment. Propagation is also accomplished by sowing fresh, untreat"
Acer saccharum,ACSA3,Propagation is possible by seed. Not considered easy to root from cuttings.,Propagation is possible by seed. Not considered easy to root from cuttings.
Aesculus glabra,AEGL,Sow seeds in fall.,Sow seeds in fall.
Quercus rubra,QURU,Oaks are most often propagated from seed. Stratify or plant immediately outdoors. Many oaks require cold temperatures to initiate,Oaks are most often propagated from seed. Stratify or plant immediately outdoors. Many oaks require cold temperatures to initiate shoot development. Protect outdoor beds with wire mesh to deter rodent predation.
Sedum pulchellum,SEPU,NA,NA
Franklinia alatamaha,FRAL,Sow seeds as soon as the,Sow seeds as soon as the fruit matures. Easily propagated from cuttings taken in late summer or fall.
Quercus virginiana,QUVI,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately â<U+0080><U+0093> outdoors or in deep containers to accommodate long initial taproot. Protect outdoor beds with wire mesh to deter rodent predation.,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately â€“ outdoors or in deep containers to accommodate long initial taproot. Protect outdoor beds with wire mesh to deter rodent predation.
Agave americana,AGAM,"Division by offshoot of ""pups"", seed","Division by offshoot of ""pups"", seed"
Helianthus pauciflorus,HEPA19,NA,NA
Dicentra formosa,DIFO,"Divisions from rhizomes should be planted vertically in wet peat pots with the eye at soil level. Small, blooming plants will be ready the following year. This plant can also be propagated by seed, however it takes several years for seedlings to grow to","Divisions from rhizomes should be planted vertically in wet peat pots with the eye at soil level. Small, blooming plants will be ready the following year. This plant can also be propagated by seed, however it takes several years for seedlings to grow to"
Callirhoe involucrata,CAIN2,"Most easily grown from seed. Seed in the fall, raking into loose topsoil to ensure good seed/soil contact. Winecups like sun and a well-drained site. Flowers the second year. Take tip cuttings as early as February, before buds form. Propagate also by transplanting tuber in fall or winter.","Most easily grown from seed. Seed in the fall, raking into loose topsoil to ensure good seed/soil contact. Winecups like sun and a well-drained site. Flowers the second year. Take tip cuttings as early as February, before buds form. Propagate also by transplanting tuber in fall or winter."
Armeria maritima,ARMA6,Propagate by seed or cuttings.,Propagate by seed or cuttings.
Pinus flexilis,PIFL2,Use stratified seed.,Use stratified seed.
Pinus ponderosa,PIPO,"Sow fresh, untreated seed in late fall. Seedlings have a better survival rate if planted in containers instead of directly into the field.","Sow fresh, untreated seed in late fall. Seedlings have a better survival rate if planted in containers instead of directly into the field."
Hamamelis vernalis,HAVE2,Seeds sown immediately after collection will be exposed to a period of warm temperatures to complete after-ripening. Pretreated seed must be double-stratified seed. Witch hazel can be layered from new wood. Rooted cuttings supposedly come easier from,Seeds sown immediately after collection will be exposed to a period of warm temperatures to complete after-ripening. Pretreated seed must be double-stratified seed. Witch hazel can be layered from new wood. Rooted cuttings supposedly come easier from
Hesperaloe parviflora,HEPA8,NA,NA
Hydrangea quercifolia,HYQU3,Propagate by seed or cuttings. Softwood cuttings should be taken early. Asexual propagation is the usual means of propagation because of a wide variability in seedlings.,Propagate by seed or cuttings. Softwood cuttings should be taken early. Asexual propagation is the usual means of propagation because of a wide variability in seedlings.
Juniperus scopulorum,JUSC2,"Generally, nodal cuttings should be taken after several hard freezes although references point to any time from July to April. Hormone treatment improves rooting. Propagation is also possible by seed but is less reliable.","Generally, nodal cuttings should be taken after several hard freezes although references point to any time from July to April. Hormone treatment improves rooting. Propagation is also possible by seed but is less reliable."
Rhododendron catawbiense,RHCA8,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Germinate under mist or a plastic tent. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of orga,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Germinate under mist or a plastic tent. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of orga
Peperomia obtusifolia,PEOB2,NA,NA
Callicarpa americana,CAAM2,"Seed, Root cuttings, softwood tip cuttings and to a much lesser extent division of mature clumps","Seed, Root cuttings, softwood tip cuttings and to a much lesser extent division of mature clumps"
Crataegus phaenopyrum,CRPH,Propagate using stratified seed.,Propagate using stratified seed.
Diervilla lonicera,DILO,Propagate by seed or cuttings. Both softwood and semi-hardwoods cuttings root readily.,Propagate by seed or cuttings. Both softwood and semi-hardwoods cuttings root readily.
Hypericum densiflorum,HYDE,NA,NA
Polemonium reptans,PORE2,Propagate by rootstock division or seed. Divide clumps in early spring or late summer. Sow seeds as they ripen or in very early spring.,Propagate by rootstock division or seed. Divide clumps in early spring or late summer. Sow seeds as they ripen or in very early spring.
Quercus bicolor,QUBI,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately – outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately â€“ outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate shoot development.
Sorbus americana,SOAM3,Plant seed in the spring. Germination is sporadic and probably will not take place until the following spring.,Plant seed in the spring. Germination is sporadic and probably will not take place until the following spring.
Quercus coccinea,QUCO2,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately – outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately â€“ outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate shoot development. Protect outdoor beds with
Quercus michauxii,QUMI,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately – outdoors or in deep containers to accomodate long initial taproot. The acorns sprout without a dormancy period and begin to germinate as soon as they fall from,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately â€“ outdoors or in deep containers to accomodate long initial taproot. The acorns sprout without a dormancy period and begin to germinate as soon as they fall from
Symphyotrichum novae-angliae,SYNO2,"Sow seeds, 5/8"" deep, outside in fall or provide cold stratification. New England aster can also be propagated by ""softwood"" cuttings taken in late spring. Mature plants can be divided in the spring by sectioning off individual stems with their associat","Sow seeds, 5/8"" deep, outside in fall or provide cold stratification. New England aster can also be propagated by ""softwood"" cuttings taken in late spring. Mature plants can be divided in the spring by sectioning off individual stems with their associat"
Aronia melanocarpa,ARME6,Propagate by seed or softwood cuttings. Softwood cuttings root without hormone treatment.,Propagate by seed or softwood cuttings. Softwood cuttings root without hormone treatment.
Phlox maculata,PHMA4,NA,NA
Symphyotrichum laeve,SYLA3,NA,NA
Halesia carolina,HACA3,NA,NA
Rhus aromatica,RHAR4,Scarified and stratified seed planted 1/3-3/4 in. deep; semi-hardwood cuttings taken in summer through fall; easily transplanted from suckers.,Scarified and stratified seed planted 1/3-3/4 in. deep; semi-hardwood cuttings taken in summer through fall; easily transplanted from suckers.
Xanthorhiza simplicissima,XASI,The most effective propagation method is division of parent plant. Root cuttings and June,The most effective propagation method is division of parent plant. Root cuttings and June shoot cuttings will also work.
Myrica pensylvanica,MOPE6,Sow seed outdoors in the fall or stratify. Semi-hardwood cuttings root moderately will with hormone treatment.,Sow seed outdoors in the fall or stratify. Semi-hardwood cuttings root moderately will with hormone treatment.
Prunus americana,PRAM,"Prunus species may be rooted from dormant hardwood, softwood, semi-hardwood, or root cuttings. Semi-hardwood and softwood cuttings taken in summer root easiest. Germination of most seeds requires cold stratification. Some species need a period of after","Prunus species may be rooted from dormant hardwood, softwood, semi-hardwood, or root cuttings. Semi-hardwood and softwood cuttings taken in summer root easiest. Germination of most seeds requires cold stratification. Some species need a period of after"
Aesculus parviflora,AEPA2,Seeds should be planted as soon as possible after they are collected and never allowed to dry out. Softwood cuttings under mist root in fair percentages. The commercial method of propagating bottlebrush buckeye is root cuttings.,Seeds should be planted as soon as possible after they are collected and never allowed to dry out. Softwood cuttings under mist root in fair percentages. The commercial method of propagating bottlebrush buckeye is root cuttings.
Betula papyrifera,BEPA,"Fall sow in moist, sandy soil with germination occuring in the spring. Germination is facilitated by exposure to light; never plant too deeply. Cuttings can be rooted but must be allowed to go through a natural dormancy period before transplanting.","Fall sow in moist, sandy soil with germination occuring in the spring. Germination is facilitated by exposure to light; never plant too deeply. Cuttings can be rooted but must be allowed to go through a natural dormancy period before transplanting."
Yucca glauca,YUGL,"Yuccas will germinate promptly from fresh seed held over winter. Seeds germinate best in 60-70 degree temperatures. Yuccas may also be grown from rhizomes,","Yuccas will germinate promptly from fresh seed held over winter. Seeds germinate best in 60-70 degree temperatures. Yuccas may also be grown from rhizomes, stem cuttings, or by digging offsets from the side of established plants. Transplant into a well"
Romneya coulteri,ROCO,Increase by cuttings of rootstocks taken in fall or winter. Can be propagated by seed but the seedlings take several years to flower.,Increase by cuttings of rootstocks taken in fall or winter. Can be propagated by seed but the seedlings take several years to flower.
Camassia leichtlinii,CALE5,NA,NA
